NAME                       STATE    CLASS         LABEL   TEMPLATE               NETVM
RedStarOS                  Halted   StandaloneVM  red     -                      -
android                    Halted   AppVM         green   d12m-waydroid          sys-firewall
anon-whonix                Halted   AppVM         red     whonix-workstation-17  sys-whonix
archlinux                  Running  TemplateVM    black   -                      sys-firewall
d12m-waydroid              Halted   TemplateVM    black   -                      sys-firewall
debian-12-minimal          Halted   TemplateVM    black   -                      -
debian-12-xfce             Halted   TemplateVM    black   -                      -
default-dvm                Halted   AppVM         red     debian-12-xfce         sys-firewall
default-mgmt-dvm           Halted   AppVM         black   debian-12-xfce         -
dom0                       Running  AdminVM       black   -                      -
fedora-40-xfce             Halted   TemplateVM    black   -                      -
kali-core                  Halted   TemplateVM    black   -                      sys-firewall
pentest-kali               Halted   AppVM         red     kali-core              sys-firewall
personal                   Running  AppVM         yellow  archlinux              sys-firewall
sync                       Running  AppVM         green   archlinux              sys-firewall
sys-black                  Halted   AppVM         black   whonix-gateway-17      sys-vpn
sys-firewall               Running  AppVM         green   fedora-40-xfce         sys-net
sys-gui-gpu                Halted   AppVM         black   fedora-40-xfce         -
sys-net                    Running  AppVM         red     fedora-40-xfce         -
sys-vpn                    Halted   AppVM         orange  archlinux              sys-firewall
sys-whonix                 Halted   AppVM         black   whonix-gateway-17      sys-firewall
test                       Halted   AppVM         red     archlinux              sys-net
whonix-gateway-17          Halted   TemplateVM    black   -                      -
whonix-workstation-17      Halted   TemplateVM    black   -                      -
whonix-workstation-17-dvm  Halted   AppVM         red     whonix-workstation-17  sys-whonix
win11                      Halted   StandaloneVM  orange  -                      sys-firewall
win7                       Halted   StandaloneVM  orange  -                      sys-firewall
